plr_id,plr_name,bezirk,flaeche_km2,centroid_lat,centroid_lng,einwohner_gesamt,einwohner_18_35,einwohner_dichte,medianeinkommen_eur,mss_status_index,mss_dynamik_label,doener_count,doener_avg_rating,doener_total_reviews,doener_best_rating,doener_pct_delivery,doener_avg_hours_per_week,doener_pct_late_night,doener_pct_open_sunday,doener_avg_price_level,transit_count,university_count,school_count,nightlife_count,office_count,fastfood_count,gastro_gesamt,gastro_neu,einwohner_pro_doener,wettbewerb_index,gastro_fluktuation,gentrification_flag
02400521,Friedenstraße,Friedrichshain-Kreuzberg,0.7315,52.520015,13.433993,8712.0,2451.0,11909.8,4638.0,2.0,stabil,1,4.2,339,4.2,0.0,106.0,100.0,100.0,1.0,13,0,12,5,3,0,29,11,8712.0,0.115,0.379,0.0
07300517,Perelsplatz,Tempelhof-Schoeneberg,0.6367,52.474355,13.333133,10082.0,2416.0,15834.8,5012.0,2.0,negativ,3,4.1,854,4.4,33.3,70.0,66.7,66.7,1.0,9,0,22,10,25,1,53,19,3360.7,0.397,0.358,0.0
06200311,Alt-Lankwitz,Steglitz-Zehlendorf,0.9938,52.438736,13.356433,4873.0,818.0,4903.4,3941.0,2.0,stabil,0,,0,,,,,,,14,1,2,3,2,0,5,2,,0.0,0.4,0.0
12100103,Breitkopfbecken,Reinickendorf,0.7205,52.571649,13.36456,7592.0,2012.0,10537.1,3439.0,3.0,positiv,0,,0,,,,,,,21,0,8,5,5,0,24,6,,0.0,0.25,0.0
10100313,Alt-Marzahn,Marzahn-Hellersdorf,1.0989,52.540209,13.551908,4981.0,1043.0,4532.7,3344.0,2.0,negativ,1,4.6,875,4.6,100.0,100.0,100.0,100.0,1.0,13,0,5,0,6,1,6,0,4981.0,0.402,0.0,0.0
07200411,Julius-Leber-Brücke,Tempelhof-Schoeneberg,0.1351,52.487891,13.360371,2741.0,620.0,20288.7,4492.0,2.0,stabil,6,4.5,3166,4.9,50.0,107.8,100.0,100.0,2.5,5,0,5,9,5,3,37,13,456.8,3.283,0.351,0.0
04501149,Nikolsburger Platz,Charlottenburg-Wilmersdorf,0.4415,52.491231,13.3268,9878.0,2271.0,22373.7,4927.0,2.0,stabil,3,4.13,692,4.9,33.3,92.3,66.7,66.7,1.0,6,0,14,13,17,3,62,26,3292.7,0.607,0.419,0.0
03701555,Sredzkistraße,Pankow,0.3146,52.538069,13.4173,7258.0,1848.0,23070.6,5508.0,2.0,stabil,6,4.67,43183,5.0,50.0,105.1,100.0,100.0,1.0,2,2,11,33,15,7,150,58,1209.7,1.791,0.387,0.0
09502043,Dammheide,Treptow-Koepenick,4.7749,52.469649,13.57252,9147.0,1419.0,1915.6,3862.0,2.0,stabil,1,4.3,71,4.3,0.0,126.0,100.0,100.0,1.0,41,0,4,1,15,0,12,4,9147.0,0.109,0.333,0.0
05200422,Werkstraße,Spandau,1.1879,52.533416,13.133675,1201.0,300.0,1011.0,,2.0,negativ,0,,0,,,,,,,11,0,6,0,4,0,4,0,,0.0,0.0,0.0
