plr_id,plr_name,bez,centroid_lat,centroid_lng,transit_count,university_count,school_count,nightlife_count,office_count,fastfood_count
01100103,Lützowstraße,01,52.50361110670958,13.359960030077678,4,0,14,18,31,1
08200725,Mohriner Allee Nord,08,52.44540627523485,13.42296473998551,9,0,5,6,2,1
03701658,Christburger Straße,03,52.535462892575175,13.427248687124022,0,0,27,8,12,1
05100312,Eckschanze,05,52.55079164936427,13.197560721535666,4,0,2,2,2,2
03601449,Michelangelostraße,03,52.54266075425726,13.44857874957048,23,0,11,5,3,1
04501151,Hildegardstraße,04,52.48038055228835,13.326271338874342,0,0,14,8,8,2
11400928,Nöldnerplatz,11,52.500016213504274,13.488041350448611,6,0,3,0,5,0
12200411,Schumacher-Quartier,12,52.56257133307872,13.317565975319162,5,0,2,0,1,2
05300840,Nonnendammallee,05,52.53645245508302,13.257517190038946,20,4,3,0,27,2
01300835,Humboldthain Süd,01,52.540260720263326,13.388971280776719,18,5,16,2,18,0
01401044,Uferstraße,01,52.550208542508074,13.372988041861197,4,1,15,5,8,1
04300621,Richard-Wagner-Straße,04,52.51497128363823,13.306706664732655,9,5,18,13,15,4
04300620,Spreestadt,04,52.51821148976553,13.327943454383858,5,12,12,2,37,0
01200520,Bremer Straße,01,52.52965930583497,13.340127006737177,10,1,9,24,16,2
12500929,Lübars,12,52.6191619100914,13.350292234728359,18,0,8,1,5,0
08200831,Buckow West,08,52.41748469284046,13.413048284943567,13,0,7,3,9,2
09200818,Spindlersfeld,09,52.44955014731709,13.565364816819462,1,0,3,0,0,1
06300528,Teltower Damm,06,52.420823556868264,13.266065298295848,28,1,18,2,8,0
10100102,Rosenbecker Straße,10,52.57149421456552,13.571902429962359,13,0,3,5,4,0
06300631,Goerzwerke,06,52.417078527659804,13.288781326038848,15,0,2,1,10,0
04300622,Ernst-Reuter-Platz,04,52.51177297914856,13.32489923256821,20,66,10,12,59,1
01401046,Nordufer,01,52.54046340273935,13.352387081653031,7,1,5,9,9,1
11100102,Dorf Falkenberg,11,52.573676096562174,13.54908717316907,12,0,3,0,3,0
03300516,Heinersdorf,03,52.570379779066265,13.440089558099977,31,0,7,2,12,5
05200527,Maulbeerallee,05,52.52372396508218,13.17300793313793,14,0,12,2,12,2
06100209,Feuerbachstraße,06,52.46257782584615,13.33391798011153,9,0,11,6,6,3
11100205,Wartenberg Süd,11,52.5703253019409,13.516719322019734,10,0,6,1,3,0
12601133,Treuenbrietzener Straße,12,52.6016046607997,13.363435425173948,16,0,6,1,1,1
10200423,Böhlener Straße,10,52.540308898827654,13.622870608877511,5,0,9,3,8,2
04501044,Ludwigkirchplatz,04,52.4954831301181,13.320026153315776,0,0,10,8,6,0
06400840,Fischtal,06,52.449816514131726,13.254869822342297,10,0,6,2,1,0
04200311,Königin-Elisabeth-Straße,04,52.50848251945052,13.277452739457937,29,1,13,7,27,1
12100102,Hausotterplatz,12,52.56963309522314,13.375174052985786,7,1,7,8,4,1
10400836,Alt-Kaulsdorf,10,52.5098056894769,13.588221469472861,14,0,6,1,9,0
05200419,Am Heideberg,05,52.54134711961002,13.146124858989472,11,0,4,1,2,0
06100101,Fichtenberg,06,52.46053860996226,13.311835719970492,14,7,13,2,10,0
05200630,Wilhelmstadt West,05,52.521262738752554,13.19230689405956,15,0,13,17,4,4
07400825,Friedrich-Karl-Straße,07,52.456229791258906,13.380245945274456,7,0,16,11,10,1
10200525,Schleipfuhl,10,52.52953629827119,13.614670267241399,6,0,7,1,6,0
11300725,Nibelungenviertel,11,52.51603731418312,13.501402090901278,24,0,8,8,6,2
11100307,Zingster Straße Ost,11,52.569165986911386,13.502757515492892,8,0,9,5,8,4
12200308,Mellerbogen,12,52.57384952751765,13.319129745207274,5,0,7,1,10,1
06200421,Königsberger Straße,06,52.43337676322177,13.320049121739268,28,4,10,1,11,6
01400938,Kameruner Straße,01,52.54750614779295,13.342690224747871,10,6,9,13,11,1
03500934,Weißenseer Spitze,03,52.55391430943661,13.437292228107996,24,1,12,4,13,2
06400735,Wannsee,06,52.409805053264265,13.14450111106011,75,1,8,4,16,0
09200717,Dörpfeldstraße Ost,09,52.440515304404,13.551466834042401,16,0,4,1,12,0
06400844,Dahlem,06,52.460426589601596,13.290561742042705,44,12,13,2,29,2
06300634,Lichterfelde West,06,52.43574078743603,13.29346103323535,27,1,14,0,8,0
02500726,Hausburgviertel,02,52.52348811765509,13.451701654288854,6,0,10,8,4,2
12601032,Rollbergesiedlung,12,52.60788043839373,13.33131631925168,10,0,2,3,7,2
05100315,Ackerstraße,05,52.5439831128795,13.20081462634947,10,0,7,8,2,2
12400722,Hermsdorf West,12,52.61015376486636,13.300641597108713,22,0,11,5,14,2
08300934,Gropiusstadt Nord-West,08,52.431406005932196,13.460895050245794,12,0,6,0,13,7
05100208,Im Spektefeld,05,52.54845567304904,13.156914330552187,27,0,11,3,4,2
05100207,An der Tränke,05,52.55018460967116,13.136950419450457,4,0,1,0,0,0
02500835,Stralauer Kiez,02,52.50124491300143,13.459115989683625,19,0,10,21,32,4
05200528,Weinmeisterhornweg,05,52.510687387057324,13.170174396785486,20,0,6,3,4,0
04400832,Breite Straße,04,52.47251928878475,13.298231983928254,10,2,9,4,7,1
12400619,Heiligensee,12,52.582769800712775,13.25473337724227,26,1,8,0,5,0
01401047,Sparrplatz,01,52.54336140713039,13.35945416529998,9,2,12,8,7,4
11200512,Orankesee,11,52.544870751300145,13.481391613473992,13,0,6,4,7,3
03601243,Rodenbergstraße,03,52.551144042234505,13.41832587099069,7,0,11,6,7,6
10400835,Kaulsdorf Nord,10,52.519144261296695,13.600408271464241,25,0,8,2,9,1
05100313,Eiswerder,05,52.55683865811043,13.219310757967559,7,0,3,4,8,0
09301228,Schmöckwitz/Rauchfangswerder,09,52.379255943457316,13.667450913290914,31,0,2,5,4,0
09300921,Preußen Siedlung,09,52.41125679299449,13.557132601898303,7,0,1,0,1,0
10100316,Landsberger Tor,10,52.538590477512116,13.579706496181279,19,0,2,0,5,2
11401032,Rosenfelder Ring,11,52.51133632849112,13.510423713665752,10,0,3,3,2,0
05100317,Freiheit,05,52.52854221229975,13.226871452053313,23,0,5,3,14,5
06200315,Gallwitzallee,06,52.425373909491626,13.344531876352532,6,0,8,1,3,1
04400833,Schlangenbader Straße,04,52.472259418200395,13.305596472752653,7,0,3,1,4,1
09501838,Rahnsdorf,09,52.43523483899866,13.709279671158384,58,0,13,1,20,0
03601244,Humannplatz,03,52.548423522327866,13.425893713890426,6,1,11,6,3,0
12400720,Frohnau West,12,52.630051917667316,13.279651540693878,24,0,11,2,3,1
11501340,Karlshorst Nord,11,52.48598591422002,13.536291376023627,22,3,11,2,10,0
07200414,Hohenfriedbergstraße,07,52.48654826354204,13.368255692824457,5,1,12,4,5,0
07200410,Feurigstraße,07,52.4841992667809,13.354686499234973,7,0,7,5,22,2
09301126,Grünau,09,52.4092108945088,13.59487267416466,21,0,10,3,16,2
04501152,Prager Platz,04,52.49149455489671,13.333933359200502,5,1,13,7,7,0
09401329,Kietzer Feld/Nachtheide,09,52.425175854364085,13.616600595869848,30,0,12,5,9,0
